CVA2,002/816/655/GCF_002816655.1_ASM281665v1/GCF_002816655.1_ASM281665v1
CVB3,002/816/685/GCF_002816685.1_ASM281668v1/GCF_002816685.1_ASM281668v1
EVD68,002/816/725/GCF_002816725.1_ASM281672v1/GCF_002816725.1_ASM281672v1
EVA114,001/684/625/GCF_001684625.1_ViralProj328671/GCF_001684625.1_ViralProj328671
EV,000/919/855/GCF_000919855.1_ViralProj246231/GCF_000919855.1_ViralProj246231
EVA,000/861/905/GCF_000861905.1_ViralProj15445/GCF_000861905.1_ViralProj15445
EVB,000/861/325/GCF_000861325.1_ViralProj15321/GCF_000861325.1_ViralProj15321
EVD,000/861/205/GCF_000861205.1_ViralProj15297/GCF_000861205.1_ViralProj15297
EVC,000/861/165/GCF_000861165.1_ViralProj15288/GCF_000861165.1_ViralProj15288
